Video_name,Init_bbox,Frame_size,Frame_type
san.mp4,"(196, 152, 592, 460)",2,current
san.mp4,"(204, 176, 572, 440)",2,current
finale.mp4,"(488, 328, 456, 340)",2,current
testraw.mp4,"(164, 120, 180, 164)",2,current
finale.mp4,"(480, 360, 492, 312)",2,current
finale.mp4,"(472, 336, 500, 352)",2,current
ff.mp4,"(292, 128, 244, 200)",2,current
finale2.mp4,"(332, 140, 216, 180)",2,current
finale2.mp4,"(452, 212, 352, 240)",2,current
fin06.mp4,"(448, 240, 400, 284)",2,current
beenz.mp4,"(556, 308, 164, 108)",2,current
sir.mp4,"(208, 180, 216, 156)",2,current
beenz.mp4,"(560, 304, 160, 120)",2,current
beenz.mp4,"(548, 308, 188, 108)",2,current
beenz.mp4,"(556, 308, 176, 108)",2,current
